percentile;dams;milp_obj;milp_time;milp_gap;rf_obj;rf_time;milp_trf_obj;milp_trf_time;milp_trf_gap
P30;6 DAM;86824.6;900.0;5.68%;87322.81;252.23;65603.71;252.0;40.10%
P30;7 DAM;114000.97;900.0;5.09%;114539.59;518.97;90615.38;519.0;32.20%
P30;8 DAM;126723.41;900.0;6.39%;129459.33;578.06;79428.23;578.0;69.80%
P30;9 DAM;138136.55;900.0;9.44%;146247.26;575.97;136378.96;576.0;10.90%
P30;10 DAM;166242.34;900.0;7.97%;174231.98;708.01;157725.19;708.0;13.80%
P30;11 DAM;169187.47;900.0;15.13%;189452.84;675.31;143214.203;675.0;36.00%
P30;12 DAM;169265.17;900.0;31.55%;216330.00;892.62;169265.17;893.0;31.55%
P25;2 DAM;3803.94;900.0;0.47%;3419.47;26.48;3547.38;26.0;11.10%
P25;3 DAM;6690.67;900.0;2.91%;6460.15;67.09;6248.76;67.0;11.70%
P25;4 DAM;9851.52;900.0;3.84%;9255.83;138.97;9300.93;139.0;10.80%
P25;5 DAM;11360.47;900.0;4.78%;10841.01;168.67;10311.34;169.0;16.40%
P25;6 DAM;13066.47;900.0;4.36%;12456.23;210.39;12056.42;210.0;14.00%
P25;7 DAM;13757.76;900.0;25.78%;15348.58;334.11;10746.73;334.0;62.40%
P25;8 DAM;15665.28;900.0;22.69%;17216.68;448.37;9782.21;448.0;97.70%
P25;9 DAM;18251.35;900.0;16.06%;18872.17;544.02;17783.65;544.0;19.90%
P25;10 DAM;14948.09;900.0;69.05%;22804.2;795.1;14826.91;795.0;71.00%
P25;11 DAM;14497.89;900.0;89.13%;24451.66;849.23;14413.78;849.0;90.70%
P25;12 DAM;19764.45;900.0;60.92%;;;;;
P20;2 DAM;3860.45;389.98;0.00%;3803.39;30.75;3655.55;31.0;8.16%
P20;3 DAM;6719.47;900.0;1.24%;6618.09;84.13;6205.88;84.0;10.60%
P20;4 DAM;9734.28;900.0;1.42%;9528.51;180.29;8912.45;180.0;11.50%
P20;5 DAM;11096.39;900.0;2.31%;10857.98;206.98;9749.27;207.0;17.20%
P20;6 DAM;12490.75;900.0;2.22%;12166.47;252.0;11739.22;252.0;9.50%
P20;7 DAM;15014.31;900.0;5.85%;15253.77;398.21;13603.48;398.0;17.10%
P20;8 DAM;16129.85;900.0;7.66%;16584.74;478.66;13145.5;479.0;32.50%
P20;9 DAM;17236.93;900.0;9.05%;17680.27;468.06;16589.83;468.0;13.71%
P20;10 DAM;16110.37;900.0;36.43%;20873.7;716.3;16110.37;716.0;36.70%
P20;11 DAM;16703.52;900.0;40.74%;22200.23;846.08;16703.52;846.0;40.74%
P20;12 DAM;15877.64;900.0;68.63%;;;;;
P10;2 DAM;1559.26;900.0;9.80%;1320.39;29.42;1460.45;29.0;25.20%
P10;3 DAM;2706.74;900.0;10.86%;2282.48;66.85;2509.68;69.0;24.40%
P10;4 DAM;3896.88;900.0;11.50%;3347.25;126.93;3767.03;127.0;16.90%
P10;5 DAM;4404.12;900.0;11.87%;3655.52;175.76;3686.25;176.0;35.90%
P10;6 DAM;4911.84;900.0;12.04%;4287.97;212.36;4035.76;212.0;37.90%
P10;7 DAM;5895.29;900.0;13.52%;5100.73;302.09;5672.99;302.0;18.80%
P10;8 DAM;6343.51;900.0;13.92%;5529.45;353.43;5548.22;353.0;30.70%
P10;9 DAM;6604.7;900.0;16.73%;5549.84;417.92;6308.85;418.0;23.00%
P10;10 DAM;7502.59;900.0;16.94%;6634.69;585.62;6076.79;586.0;44.70%
P10;11 DAM;7622.64;900.0;20.98%;6987.36;677.17;7039.77;677.0;31.10%
P10;12 DAM;7755.34;900.0;31.60%;7756.66;836.4;7525.25;836.0;35.60%
P00;2 DAM;755.99;261.84;0.00%;517.22;22.81;755.14;23.0;11.20%
P00;3 DAM;1220.22;900.0;7.40%;971.37;47.75;1218.66;48.0;15.00%
P00;4 DAM;1628.66;900.0;11.88%;1265.63;80.63;1622.38;81.0;16.00%
P00;5 DAM;1950.19;900.0;11.75%;1583.28;107.9;1938.56;108.0;16.00%
P00;6 DAM;2356.09;900.0;10.27%;1960.08;139.75;2346.09;140.0;14.00%
P00;7 DAM;3001.97;900.0;11.19%;2571.19;166.59;2725.79;167.0;25.20%
P00;8 DAM;3444.46;900.0;11.44%;3036.04;208.97;2415.49;209.0;61.40%
P00;9 DAM;3954.14;900.0;10.87%;3461.56;250.18;3645.08;250.0;21.80%
P00;10 DAM;4838.63;900.0;10.73%;4288.43;326.45;4102.12;326.0;30.90%
P00;11 DAM;5387.29;900.0;10.99%;4811.61;375.66;4873.19;358.0;23.20%
P00;12 DAM;6033.61;900.0;16.42%;5671.95;510.77;4968.66;511.0;41.80%
